epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8535714149475098,9.999999747378752e-06,0.3954720199108124,0.8797619342803955,0.31030651926994324
1,0.8804621696472168,9.999999747378752e-06,0.3328455984592438,0.8773809671401978,0.3491881191730499
2,0.8876050710678101,9.999999747378752e-06,0.2999843955039978,0.8976190686225891,0.28687289357185364
3,0.8966386318206787,9.999999747378752e-06,0.2715492844581604,0.8999999761581421,0.2966916859149933
4,0.9084033370018005,9.999999747378752e-06,0.23787178099155426,0.9107142686843872,0.259108304977417
5,0.9086134433746338,9.999999747378752e-06,0.24283954501152039,0.9190475940704346,0.2463456094264984
6,0.9191176295280457,9.999999747378752e-06,0.22669357061386108,0.9154762029647827,0.24751438200473785
7,0.922478973865509,9.999999747378752e-06,0.2075151950120926,0.9154762029647827,0.22175189852714539
8,0.9268907308578491,9.999999747378752e-06,0.19684156775474548,0.9309523701667786,0.20420540869235992
9,0.9212185144424438,9.999999747378752e-06,0.20683321356773376,0.9333333373069763,0.22599317133426666
10,0.929411768913269,9.999999747378752e-06,0.1802213191986084,0.9309523701667786,0.19339574873447418
11,0.9329832196235657,9.999999747378752e-06,0.17473304271697998,0.9321428537368774,0.19948434829711914
12,0.930672287940979,9.999999747378752e-06,0.18496666848659515,0.9309523701667786,0.19405730068683624
13,0.938655436038971,9.999999747378752e-06,0.16865187883377075,0.9404761791229248,0.16104091703891754
14,0.9407563209533691,9.999999747378752e-06,0.16038279235363007,0.9404761791229248,0.16433200240135193
15,0.9457983374595642,9.999999747378752e-06,0.14810752868652344,0.9333333373069763,0.18721874058246613
16,0.9382352828979492,9.999999747378752e-06,0.15902169048786163,0.9392856955528259,0.1721188873052597
17,0.9470587968826294,4.999999873689376e-06,0.14282459020614624,0.9392856955528259,0.16762951016426086
18,0.9521008133888245,4.999999873689376e-06,0.12585099041461945,0.9297618865966797,0.1594582200050354
19,0.9523109197616577,4.999999873689376e-06,0.12812212109565735,0.9297618865966797,0.1838529109954834
