epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7899159789085388,0.0010000000474974513,0.636437177658081,0.8702380657196045,0.35590606927871704
1,0.8483193516731262,0.0010000000474974513,0.4205656945705414,0.8738095164299011,0.31037086248397827
2,0.8705882430076599,0.0010000000474974513,0.3576042652130127,0.8821428418159485,0.2989942133426666
3,0.8718487620353699,0.0010000000474974513,0.342815101146698,0.898809552192688,0.2747975289821625
4,0.8880252242088318,0.0010000000474974513,0.30938854813575745,0.9107142686843872,0.23369643092155457
5,0.8880252242088318,0.0010000000474974513,0.28976789116859436,0.898809552192688,0.24433009326457977
6,0.896218478679657,0.0010000000474974513,0.2832714319229126,0.901190459728241,0.2578030228614807
7,0.8947479128837585,0.0010000000474974513,0.27686208486557007,0.9119047522544861,0.2471853643655777
8,0.9090335965156555,0.0005000000237487257,0.24337342381477356,0.9166666865348816,0.20091602206230164
9,0.9052520990371704,0.0005000000237487257,0.2358330488204956,0.9107142686843872,0.231840118765831
10,0.9052520990371704,0.0005000000237487257,0.24535439908504486,0.9202380776405334,0.2152891457080841
11,0.909453809261322,0.0005000000237487257,0.23292677104473114,0.9309523701667786,0.2007637619972229
12,0.9147058725357056,0.0005000000237487257,0.2294911891222,0.9047619104385376,0.21992360055446625
13,0.9182773232460022,0.0005000000237487257,0.2171725183725357,0.9273809790611267,0.199122354388237
14,0.9140756130218506,0.0005000000237487257,0.22426478564739227,0.9202380776405334,0.20785607397556305
